kind,dcs_category,native_id,identifier,name,phys_type,positions,routing,address,value_range,ifaces,fw_class
output,Warning Lamps,,D_FUELTRANS_CAUTION,Fuel Transfer-Caution Ladder (yellow),LED,,DCS-BIOS,0x845C,1,,LED
output,Warning Lamps,,D_GLARE_FIRE,Glareshield Fire (red),LED,,DCS-BIOS,0x845C,1,,LED
output,Warning Lamps,,D_GLARE_IFF,Glareshield IFF (white),LED,,DCS-BIOS,0x845C,1,,LED
output,Warning Lamps,,D_GLARE_LABS,Glareshield LABS (yellow),LED,,DCS-BIOS,0x845C,1,,LED
output,Warning Lamps,,D_GLARE_LAWS,Glareshield LAWS (red),LED,,DCS-BIOS,0x845C,1,,LED
output,Warning Lamps,,D_GLARE_OBST,Glareshield OBST (yellow),LED,,DCS-BIOS,0x845C,1,,LED
output,Warning Lamps,,D_GLARE_WHEELS,Glareshield Wheels (white),LED,,DCS-BIOS,0x845C,1,,LED
output,Warning Lamps,,D_OIL_LOW,Oil Low Light (yellow),LED,,DCS-BIOS,0x845C,1,,LED
output,Warning Lamps,,D_OXYGEN_LOW,Oxygen Low (red),LED,,DCS-BIOS,0x845C,1,,LED
output,Warning Lamps,,D_RADAR_WARN,Radar Altitude Warning (red),LED,,DCS-BIOS,0x845C,1,,LED
output,Warning Lamps,,D_SPDBRK_CAUTION,Speed Break-Caution Ladder (yellow),LED,,DCS-BIOS,0x845C,1,,LED
output,Warning Lamps,,D_SPOILER_CAUTION,Spoiler-Caution Ladder (yellow),LED,,DCS-BIOS,0x845C,1,,LED
output,Warning Lamps,,D_UTILHYD_CAUTION,Utility Hydraulics-Caution Ladder (yellow),LED,,DCS-BIOS,0x845C,1,,LED
hotas,Control Stick,,,Gun-Rocket Trigger,button,,HID,,,,HIDButton
hotas,Control Stick,,,Bomb Release (Pickle),button,,HID,,,,HIDButton
hotas,Control Stick,,,Trim Hat (4-way + reset),hat,,HID,,,,HIDButton
hotas,Control Stick,,,Autopilot Override Paddle,button,,HID,,,,HIDButton
hotas,Control Stick,,,Stick Roll Axis,axis,,HID,,,,AnalogInput/HID
hotas,Control Stick,,,Stick Pitch Axis,axis,,HID,,,,AnalogInput/HID
hotas,Throttle,,,Throttle Axis,axis,,HID,,,,AnalogInput/HID
hotas,Throttle Grip,,,Throttle Detent OFF/IGN/RUN,3pos,,HID,,,,HIDButton
hotas,Throttle Grip,,,Speedbrake Switch,switch,,HID,,,,HIDButton
hotas,Throttle Grip,,,Master Exterior Lights (grip),switch,,HID,,,,HIDButton
hotas,Rudder Pedals,,,Rudder Axis,axis,,HID,,,,AnalogInput/HID
hotas,Rudder Pedals,,,Wheel Brake Left (toe),axis,,HID,,,,AnalogInput/HID
hotas,Rudder Pedals,,,Wheel Brake Right (toe),axis,,HID,,,,AnalogInput/HID
